"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
1201000;"Powiat bocheński";"ludność na 1 km2";"2024";164,9;"osoba";"";
1201011;"Bochnia (1)";"ludność na 1 km2";"2024";948,1;"osoba";"";
1201022;"Bochnia (2)";"ludność na 1 km2";"2024";159,4;"osoba";"";
1201032;"Drwinia (2)";"ludność na 1 km2";"2024";58,5;"osoba";"";
1201042;"Lipnica Murowana (2)";"ludność na 1 km2";"2024";91,4;"osoba";"";
1201052;"Łapanów (2)";"ludność na 1 km2";"2024";120,7;"osoba";"";
1201063;"Nowy Wiśnicz (3)";"ludność na 1 km2";"2024";176,3;"osoba";"";
1201064;"Nowy Wiśnicz - miasto (4)";"ludność na 1 km2";"2024";547,1;"osoba";"";
1201065;"Nowy Wiśnicz - obszar wiejski (5)";"ludność na 1 km2";"2024";152,5;"osoba";"";
1201072;"Rzezawa (2)";"ludność na 1 km2";"2024";133,8;"osoba";"";
1201082;"Trzciana (2)";"ludność na 1 km2";"2024";129,3;"osoba";"";
1201092;"Żegocina (2)";"ludność na 1 km2";"2024";158,4;"osoba";"";
1202000;"Powiat brzeski";"ludność na 1 km2";"2024";154,6;"osoba";"";
1202012;"Borzęcin (2)";"ludność na 1 km2";"2024";78,7;"osoba";"";
1202023;"Brzesko (3)";"ludność na 1 km2";"2024";343,7;"osoba";"";
1202024;"Brzesko - miasto (4)";"ludność na 1 km2";"2024";1326,2;"osoba";"";
1202025;"Brzesko - obszar wiejski (5)";"ludność na 1 km2";"2024";214,8;"osoba";"";
1202033;"Czchów (3)";"ludność na 1 km2";"2024";145,5;"osoba";"";
1202034;"Czchów - miasto (4)";"ludność na 1 km2";"2024";160,6;"osoba";"";
1202035;"Czchów - obszar wiejski (5)";"ludność na 1 km2";"2024";141,4;"osoba";"";
1202042;"Dębno (2)";"ludność na 1 km2";"2024";177,5;"osoba";"";
1202052;"Gnojnik (2)";"ludność na 1 km2";"2024";147,4;"osoba";"";
1202062;"Iwkowa (2)";"ludność na 1 km2";"2024";140,8;"osoba";"";
1202072;"Szczurowa (2)";"ludność na 1 km2";"2024";67,2;"osoba";"";
1203000;"Powiat chrzanowski";"ludność na 1 km2";"2024";318,4;"osoba";"";
1203013;"Alwernia (3)";"ludność na 1 km2";"2024";166,6;"osoba";"";
1203014;"Alwernia - miasto (4)";"ludność na 1 km2";"2024";361,6;"osoba";"";
1203015;"Alwernia - obszar wiejski (5)";"ludność na 1 km2";"2024";140,0;"osoba";"";
1203022;"Babice (2)";"ludność na 1 km2";"2024";165,6;"osoba";"";
1203033;"Chrzanów (3)";"ludność na 1 km2";"2024";547,5;"osoba";"";
1203034;"Chrzanów - miasto (4)";"ludność na 1 km2";"2024";875,0;"osoba";"";
1203035;"Chrzanów - obszar wiejski (5)";"ludność na 1 km2";"2024";242,4;"osoba";"";
1203043;"Libiąż (3)";"ludność na 1 km2";"2024";367,3;"osoba";"";
1203044;"Libiąż - miasto (4)";"ludność na 1 km2";"2024";440,3;"osoba";"";
1203045;"Libiąż - obszar wiejski (5)";"ludność na 1 km2";"2024";243,0;"osoba";"";
1203053;"Trzebinia (3)";"ludność na 1 km2";"2024";304,4;"osoba";"";
1203054;"Trzebinia - miasto (4)";"ludność na 1 km2";"2024";572,7;"osoba";"";
1203055;"Trzebinia - obszar wiejski (5)";"ludność na 1 km2";"2024";187,5;"osoba";"";
1204000;"Powiat dąbrowski";"ludność na 1 km2";"2024";108,0;"osoba";"";
1204012;"Bolesław (2)";"ludność na 1 km2";"2024";73,6;"osoba";"";
1204023;"Dąbrowa Tarnowska (3)";"ludność na 1 km2";"2024";179,2;"osoba";"";
1204024;"Dąbrowa Tarnowska - miasto (4)";"ludność na 1 km2";"2024";490,9;"osoba";"";
1204025;"Dąbrowa Tarnowska - obszar wiejski (5)";"ludność na 1 km2";"2024";101,6;"osoba";"";
1204032;"Gręboszów (2)";"ludność na 1 km2";"2024";64,7;"osoba";"";
1204042;"Mędrzechów (2)";"ludność na 1 km2";"2024";73,2;"osoba";"";
1204052;"Olesno (2)";"ludność na 1 km2";"2024";98,2;"osoba";"";
1204062;"Radgoszcz (2)";"ludność na 1 km2";"2024";83,8;"osoba";"";
1204073;"Szczucin (3)";"ludność na 1 km2";"2024";103,5;"osoba";"";
1204074;"Szczucin - miasto (4)";"ludność na 1 km2";"2024";593,4;"osoba";"";
1204075;"Szczucin - obszar wiejski (5)";"ludność na 1 km2";"2024";73,7;"osoba";"";
1205000;"Powiat gorlicki";"ludność na 1 km2";"2024";108,2;"osoba";"";
1205011;"Gorlice (1)";"ludność na 1 km2";"2024";1069,5;"osoba";"";
1205023;"Biecz (3)";"ludność na 1 km2";"2024";162,5;"osoba";"";
1205024;"Biecz - miasto (4)";"ludność na 1 km2";"2024";240,8;"osoba";"";
1205025;"Biecz - obszar wiejski (5)";"ludność na 1 km2";"2024";145,3;"osoba";"";
1205033;"Bobowa (3)";"ludność na 1 km2";"2024";192,7;"osoba";"";
1205034;"Bobowa - miasto (4)";"ludność na 1 km2";"2024";427,2;"osoba";"";
1205035;"Bobowa - obszar wiejski (5)";"ludność na 1 km2";"2024";153,1;"osoba";"";
1205042;"Gorlice (2)";"ludność na 1 km2";"2024";164,3;"osoba";"";
1205052;"Lipinki (2)";"ludność na 1 km2";"2024";100,1;"osoba";"";
1205062;"Łużna (2)";"ludność na 1 km2";"2024";146,7;"osoba";"";
1205072;"Moszczenica (2)";"ludność na 1 km2";"2024";130,8;"osoba";"";
1205082;"Ropa (2)";"ludność na 1 km2";"2024";112,1;"osoba";"";
1205092;"Sękowa (2)";"ludność na 1 km2";"2024";25,1;"osoba";"";
1205102;"Uście Gorlickie (2)";"ludność na 1 km2";"2024";23,4;"osoba";"";
1206000;"Powiat krakowski";"ludność na 1 km2";"2024";247,3;"osoba";"";
1206012;"Czernichów (2)";"ludność na 1 km2";"2024";183,4;"osoba";"";
1206022;"Igołomia-Wawrzeńczyce (2)";"ludność na 1 km2";"2024";125,1;"osoba";"";
1206032;"Iwanowice (2)";"ludność na 1 km2";"2024";138,4;"osoba";"";
1206042;"Jerzmanowice-Przeginia (2)";"ludność na 1 km2";"2024";163,5;"osoba";"";
1206052;"Kocmyrzów-Luborzyca (2)";"ludność na 1 km2";"2024";224,8;"osoba";"";
1206063;"Krzeszowice (3)";"ludność na 1 km2";"2024";229,0;"osoba";"";
1206064;"Krzeszowice - miasto (4)";"ludność na 1 km2";"2024";575,6;"osoba";"";
1206065;"Krzeszowice - obszar wiejski (5)";"ludność na 1 km2";"2024";180,8;"osoba";"";
1206072;"Liszki (2)";"ludność na 1 km2";"2024";260,2;"osoba";"";
1206082;"Michałowice (2)";"ludność na 1 km2";"2024";265,0;"osoba";"";
1206092;"Mogilany (2)";"ludność na 1 km2";"2024";378,2;"osoba";"";
1206103;"Skała (3)";"ludność na 1 km2";"2024";146,2;"osoba";"";
1206104;"Skała - miasto (4)";"ludność na 1 km2";"2024";1298,3;"osoba";"";
1206105;"Skała - obszar wiejski (5)";"ludność na 1 km2";"2024";98,5;"osoba";"";
1206113;"Skawina (3)";"ludność na 1 km2";"2024";440,7;"osoba";"";
1206114;"Skawina - miasto (4)";"ludność na 1 km2";"2024";1164,3;"osoba";"";
1206115;"Skawina - obszar wiejski (5)";"ludność na 1 km2";"2024";253,8;"osoba";"";
1206123;"Słomniki (3)";"ludność na 1 km2";"2024";123,2;"osoba";"";
1206124;"Słomniki - miasto (4)";"ludność na 1 km2";"2024";1212,5;"osoba";"";
1206125;"Słomniki - obszar wiejski (5)";"ludność na 1 km2";"2024";88,4;"osoba";"";
1206132;"Sułoszowa (2)";"ludność na 1 km2";"2024";105,6;"osoba";"";
1206143;"Świątniki Górne (3)";"ludność na 1 km2";"2024";550,8;"osoba";"";
1206144;"Świątniki Górne - miasto (4)";"ludność na 1 km2";"2024";537,6;"osoba";"";
1206145;"Świątniki Górne - obszar wiejski (5)";"ludność na 1 km2";"2024";554,4;"osoba";"";
1206152;"Wielka Wieś (2)";"ludność na 1 km2";"2024";359,3;"osoba";"";
1206162;"Zabierzów (2)";"ludność na 1 km2";"2024";300,1;"osoba";"";
1206172;"Zielonki (2)";"ludność na 1 km2";"2024";578,0;"osoba";"";
1207000;"Powiat limanowski";"ludność na 1 km2";"2024";138,4;"osoba";"";
1207011;"Limanowa (1)";"ludność na 1 km2";"2024";768,2;"osoba";"";
1207021;"Mszana Dolna (1)";"ludność na 1 km2";"2024";288,1;"osoba";"";
1207032;"Dobra (2)";"ludność na 1 km2";"2024";92,1;"osoba";"";
1207042;"Jodłownik (2)";"ludność na 1 km2";"2024";121,5;"osoba";"";
1207052;"Kamienica (2)";"ludność na 1 km2";"2024";81,9;"osoba";"";
1207062;"Laskowa (2)";"ludność na 1 km2";"2024";112,4;"osoba";"";
1207072;"Limanowa (2)";"ludność na 1 km2";"2024";171,6;"osoba";"";
1207082;"Łukowica (2)";"ludność na 1 km2";"2024";146,4;"osoba";"";
1207092;"Mszana Dolna (2)";"ludność na 1 km2";"2024";103,8;"osoba";"";
1207102;"Niedźwiedź (2)";"ludność na 1 km2";"2024";98,7;"osoba";"";
1207112;"Słopnice (2)";"ludność na 1 km2";"2024";123,7;"osoba";"";
1207122;"Tymbark (2)";"ludność na 1 km2";"2024";192,3;"osoba";"";
1208000;"Powiat miechowski";"ludność na 1 km2";"2024";68,5;"osoba";"";
1208012;"Charsznica (2)";"ludność na 1 km2";"2024";89,2;"osoba";"";
1208022;"Gołcza (2)";"ludność na 1 km2";"2024";65,3;"osoba";"";
1208032;"Kozłów (2)";"ludność na 1 km2";"2024";51,1;"osoba";"";
1208043;"Książ Wielki (3)";"ludność na 1 km2";"2024";34,8;"osoba";"";
1208044;"Książ Wielki - miasto (4)";"ludność na 1 km2";"2024";151,2;"osoba";"";
1208045;"Książ Wielki - obszar wiejski (5)";"ludność na 1 km2";"2024";29,8;"osoba";"";
1208053;"Miechów (3)";"ludność na 1 km2";"2024";125,1;"osoba";"";
1208054;"Miechów - miasto (4)";"ludność na 1 km2";"2024";700,9;"osoba";"";
1208055;"Miechów - obszar wiejski (5)";"ludność na 1 km2";"2024";58,0;"osoba";"";
1208062;"Racławice (2)";"ludność na 1 km2";"2024";40,6;"osoba";"";
1208072;"Słaboszów (2)";"ludność na 1 km2";"2024";42,8;"osoba";"";
1209000;"Powiat myślenicki";"ludność na 1 km2";"2024";193,1;"osoba";"";
1209013;"Dobczyce (3)";"ludność na 1 km2";"2024";234,3;"osoba";"";
1209014;"Dobczyce - miasto (4)";"ludność na 1 km2";"2024";472,2;"osoba";"";
1209015;"Dobczyce - obszar wiejski (5)";"ludność na 1 km2";"2024";176,5;"osoba";"";
1209022;"Lubień (2)";"ludność na 1 km2";"2024";134,6;"osoba";"";
1209033;"Myślenice (3)";"ludność na 1 km2";"2024";296,9;"osoba";"";
1209034;"Myślenice - miasto (4)";"ludność na 1 km2";"2024";585,2;"osoba";"";
1209035;"Myślenice - obszar wiejski (5)";"ludność na 1 km2";"2024";226,2;"osoba";"";
1209042;"Pcim (2)";"ludność na 1 km2";"2024";124,4;"osoba";"";
1209052;"Raciechowice (2)";"ludność na 1 km2";"2024";105,3;"osoba";"";
1209062;"Siepraw (2)";"ludność na 1 km2";"2024";305,0;"osoba";"";
1209073;"Sułkowice (3)";"ludność na 1 km2";"2024";252,2;"osoba";"";
1209074;"Sułkowice - miasto (4)";"ludność na 1 km2";"2024";394,5;"osoba";"";
1209075;"Sułkowice - obszar wiejski (5)";"ludność na 1 km2";"2024";198,9;"osoba";"";
1209082;"Tokarnia (2)";"ludność na 1 km2";"2024";128,0;"osoba";"";
1209092;"Wiśniowa (2)";"ludność na 1 km2";"2024";112,4;"osoba";"";
1210000;"Powiat nowosądecki";"ludność na 1 km2";"2024";138,6;"osoba";"";
1210011;"Grybów (1)";"ludność na 1 km2";"2024";348,9;"osoba";"";
1210022;"Chełmiec (2)";"ludność na 1 km2";"2024";267,0;"osoba";"";
1210032;"Gródek nad Dunajcem (2)";"ludność na 1 km2";"2024";100,4;"osoba";"";
1210042;"Grybów (2)";"ludność na 1 km2";"2024";165,5;"osoba";"";
1210052;"Kamionka Wielka (2)";"ludność na 1 km2";"2024";161,4;"osoba";"";
1210062;"Korzenna (2)";"ludność na 1 km2";"2024";135,0;"osoba";"";
1210073;"Krynica-Zdrój (3)";"ludność na 1 km2";"2024";106,3;"osoba";"";
1210074;"Krynica-Zdrój - miasto (4)";"ludność na 1 km2";"2024";237,7;"osoba";"";
1210075;"Krynica-Zdrój - obszar wiejski (5)";"ludność na 1 km2";"2024";56,9;"osoba";"";
1210082;"Łabowa (2)";"ludność na 1 km2";"2024";50,9;"osoba";"";
1210092;"Łącko (2)";"ludność na 1 km2";"2024";125,8;"osoba";"";
1210102;"Łososina Dolna (2)";"ludność na 1 km2";"2024";132,0;"osoba";"";
1210113;"Muszyna (3)";"ludność na 1 km2";"2024";78,5;"osoba";"";
1210114;"Muszyna - miasto (4)";"ludność na 1 km2";"2024";181,5;"osoba";"";
1210115;"Muszyna - obszar wiejski (5)";"ludność na 1 km2";"2024";57,0;"osoba";"";
1210122;"Nawojowa (2)";"ludność na 1 km2";"2024";176,6;"osoba";"";
1210133;"Piwniczna-Zdrój (3)";"ludność na 1 km2";"2024";77,7;"osoba";"";
1210134;"Piwniczna-Zdrój - miasto (4)";"ludność na 1 km2";"2024";139,0;"osoba";"";
1210135;"Piwniczna-Zdrój - obszar wiejski (5)";"ludność na 1 km2";"2024";51,1;"osoba";"";
1210142;"Podegrodzie (2)";"ludność na 1 km2";"2024";210,7;"osoba";"";
1210152;"Rytro (2)";"ludność na 1 km2";"2024";86,7;"osoba";"";
1210163;"Stary Sącz (3)";"ludność na 1 km2";"2024";232,6;"osoba";"";
1210164;"Stary Sącz - miasto (4)";"ludność na 1 km2";"2024";573,7;"osoba";"";
1210165;"Stary Sącz - obszar wiejski (5)";"ludność na 1 km2";"2024";173,0;"osoba";"";
1211000;"Powiat nowotarski";"ludność na 1 km2";"2024";128,8;"osoba";"";
1211011;"Nowy Targ (1)";"ludność na 1 km2";"2024";647,0;"osoba";"";
1211023;"Szczawnica (3)";"ludność na 1 km2";"2024";75,4;"osoba";"";
1211024;"Szczawnica - miasto (4)";"ludność na 1 km2";"2024";157,8;"osoba";"";
1211025;"Szczawnica - obszar wiejski (5)";"ludność na 1 km2";"2024";26,2;"osoba";"";
1211033;"Czarny Dunajec (3)";"ludność na 1 km2";"2024";101,8;"osoba";"";
1211034;"Czarny Dunajec - miasto (4)";"ludność na 1 km2";"2024";96,2;"osoba";"";
1211035;"Czarny Dunajec - obszar wiejski (5)";"ludność na 1 km2";"2024";102,9;"osoba";"";
1211042;"Czorsztyn (2)";"ludność na 1 km2";"2024";122,3;"osoba";"";
1211052;"Jabłonka (2)";"ludność na 1 km2";"2024";90,3;"osoba";"";
1211062;"Krościenko nad Dunajcem (2)";"ludność na 1 km2";"2024";115,5;"osoba";"";
1211072;"Lipnica Wielka (2)";"ludność na 1 km2";"2024";89,9;"osoba";"";
1211082;"Łapsze Niżne (2)";"ludność na 1 km2";"2024";73,7;"osoba";"";
1211092;"Nowy Targ (2)";"ludność na 1 km2";"2024";115,8;"osoba";"";
1211102;"Ochotnica Dolna (2)";"ludność na 1 km2";"2024";60,2;"osoba";"";
1211112;"Raba Wyżna (2)";"ludność na 1 km2";"2024";162,2;"osoba";"";
1211123;"Rabka-Zdrój (3)";"ludność na 1 km2";"2024";237,9;"osoba";"";
1211124;"Rabka-Zdrój - miasto (4)";"ludność na 1 km2";"2024";330,7;"osoba";"";
1211125;"Rabka-Zdrój - obszar wiejski (5)";"ludność na 1 km2";"2024";133,0;"osoba";"";
1211132;"Spytkowice (2)";"ludność na 1 km2";"2024";146,0;"osoba";"";
1211142;"Szaflary (2)";"ludność na 1 km2";"2024";208,3;"osoba";"";
1212000;"Powiat olkuski";"ludność na 1 km2";"2024";169,9;"osoba";"";
1212011;"Bukowno (1)";"ludność na 1 km2";"2024";144,0;"osoba";"";
1212032;"Bolesław (2)";"ludność na 1 km2";"2024";183,7;"osoba";"";
1212042;"Klucze (2)";"ludność na 1 km2";"2024";120,2;"osoba";"";
1212053;"Olkusz (3)";"ludność na 1 km2";"2024";299,5;"osoba";"";
1212054;"Olkusz - miasto (4)";"ludność na 1 km2";"2024";1243,5;"osoba";"";
1212055;"Olkusz - obszar wiejski (5)";"ludność na 1 km2";"2024";106,3;"osoba";"";
1212062;"Trzyciąż (2)";"ludność na 1 km2";"2024";72,1;"osoba";"";
1212073;"Wolbrom (3)";"ludność na 1 km2";"2024";148,2;"osoba";"";
1212074;"Wolbrom - miasto (4)";"ludność na 1 km2";"2024";791,1;"osoba";"";
1212075;"Wolbrom - obszar wiejski (5)";"ludność na 1 km2";"2024";100,6;"osoba";"";
1213000;"Powiat oświęcimski";"ludność na 1 km2";"2024";363,6;"osoba";"";
1213011;"Oświęcim (1)";"ludność na 1 km2";"2024";1171,6;"osoba";"";
1213023;"Brzeszcze (3)";"ludność na 1 km2";"2024";443,9;"osoba";"";
1213024;"Brzeszcze - miasto (4)";"ludność na 1 km2";"2024";554,3;"osoba";"";
1213025;"Brzeszcze - obszar wiejski (5)";"ludność na 1 km2";"2024";364,9;"osoba";"";
1213033;"Chełmek (3)";"ludność na 1 km2";"2024";447,5;"osoba";"";
1213034;"Chełmek - miasto (4)";"ludność na 1 km2";"2024";1000,8;"osoba";"";
1213035;"Chełmek - obszar wiejski (5)";"ludność na 1 km2";"2024";206,1;"osoba";"";
1213043;"Kęty (3)";"ludność na 1 km2";"2024";433,6;"osoba";"";
1213044;"Kęty - miasto (4)";"ludność na 1 km2";"2024";761,8;"osoba";"";
1213045;"Kęty - obszar wiejski (5)";"ludność na 1 km2";"2024";292,2;"osoba";"";
1213052;"Osiek (2)";"ludność na 1 km2";"2024";198,1;"osoba";"";
1213062;"Oświęcim (2)";"ludność na 1 km2";"2024";253,7;"osoba";"";
1213072;"Polanka Wielka (2)";"ludność na 1 km2";"2024";180,2;"osoba";"";
1213082;"Przeciszów (2)";"ludność na 1 km2";"2024";178,0;"osoba";"";
1213093;"Zator (3)";"ludność na 1 km2";"2024";175,2;"osoba";"";
1213094;"Zator - miasto (4)";"ludność na 1 km2";"2024";310,7;"osoba";"";
1213095;"Zator - obszar wiejski (5)";"ludność na 1 km2";"2024";136,4;"osoba";"";
1214000;"Powiat proszowicki";"ludność na 1 km2";"2024";101,1;"osoba";"";
1214012;"Koniusza (2)";"ludność na 1 km2";"2024";102,9;"osoba";"";
1214023;"Koszyce (3)";"ludność na 1 km2";"2024";78,8;"osoba";"";
1214024;"Koszyce - miasto (4)";"ludność na 1 km2";"2024";235,4;"osoba";"";
1214025;"Koszyce - obszar wiejski (5)";"ludność na 1 km2";"2024";70,7;"osoba";"";
1214033;"Nowe Brzesko (3)";"ludność na 1 km2";"2024";103,3;"osoba";"";
1214034;"Nowe Brzesko - miasto (4)";"ludność na 1 km2";"2024";219,4;"osoba";"";
1214035;"Nowe Brzesko - obszar wiejski (5)";"ludność na 1 km2";"2024";85,4;"osoba";"";
1214042;"Pałecznica (2)";"ludność na 1 km2";"2024";72,0;"osoba";"";
1214053;"Proszowice (3)";"ludność na 1 km2";"2024";153,7;"osoba";"";
1214054;"Proszowice - miasto (4)";"ludność na 1 km2";"2024";778,9;"osoba";"";
1214055;"Proszowice - obszar wiejski (5)";"ludność na 1 km2";"2024";104,3;"osoba";"";
1214062;"Radziemice (2)";"ludność na 1 km2";"2024";54,5;"osoba";"";
1215000;"Powiat suski";"ludność na 1 km2";"2024";120,4;"osoba";"";
1215011;"Jordanów (1)";"ludność na 1 km2";"2024";256,6;"osoba";"";
1215021;"Sucha Beskidzka (1)";"ludność na 1 km2";"2024";315,6;"osoba";"";
1215032;"Budzów (2)";"ludność na 1 km2";"2024";119,5;"osoba";"";
1215042;"Bystra-Sidzina (2)";"ludność na 1 km2";"2024";84,8;"osoba";"";
1215052;"Jordanów (2)";"ludność na 1 km2";"2024";120,6;"osoba";"";
1215063;"Maków Podhalański (3)";"ludność na 1 km2";"2024";144,1;"osoba";"";
1215064;"Maków Podhalański - miasto (4)";"ludność na 1 km2";"2024";273,2;"osoba";"";
1215065;"Maków Podhalański - obszar wiejski (5)";"ludność na 1 km2";"2024";114,8;"osoba";"";
1215072;"Stryszawa (2)";"ludność na 1 km2";"2024";104,3;"osoba";"";
1215082;"Zawoja (2)";"ludność na 1 km2";"2024";68,0;"osoba";"";
1215092;"Zembrzyce (2)";"ludność na 1 km2";"2024";137,2;"osoba";"";
1216000;"Powiat tarnowski";"ludność na 1 km2";"2024";139,6;"osoba";"";
1216013;"Ciężkowice (3)";"ludność na 1 km2";"2024";106,3;"osoba";"";
1216014;"Ciężkowice - miasto (4)";"ludność na 1 km2";"2024";248,6;"osoba";"";
1216015;"Ciężkowice - obszar wiejski (5)";"ludność na 1 km2";"2024";91,1;"osoba";"";
1216022;"Gromnik (2)";"ludność na 1 km2";"2024";125,5;"osoba";"";
1216032;"Lisia Góra (2)";"ludność na 1 km2";"2024";149,7;"osoba";"";
1216042;"Pleśna (2)";"ludność na 1 km2";"2024";141,0;"osoba";"";
1216053;"Radłów (3)";"ludność na 1 km2";"2024";108,7;"osoba";"";
1216054;"Radłów - miasto (4)";"ludność na 1 km2";"2024";160,7;"osoba";"";
1216055;"Radłów - obszar wiejski (5)";"ludność na 1 km2";"2024";96,1;"osoba";"";
1216063;"Ryglice (3)";"ludność na 1 km2";"2024";95,1;"osoba";"";
1216064;"Ryglice - miasto (4)";"ludność na 1 km2";"2024";105,1;"osoba";"";
1216065;"Ryglice - obszar wiejski (5)";"ludność na 1 km2";"2024";92,3;"osoba";"";
1216072;"Rzepiennik Strzyżewski (2)";"ludność na 1 km2";"2024";92,0;"osoba";"";
1216082;"Skrzyszów (2)";"ludność na 1 km2";"2024";164,9;"osoba";"";
1216092;"Tarnów (2)";"ludność na 1 km2";"2024";320,3;"osoba";"";
1216103;"Tuchów (3)";"ludność na 1 km2";"2024";169,7;"osoba";"";
1216104;"Tuchów - miasto (4)";"ludność na 1 km2";"2024";339,3;"osoba";"";
1216105;"Tuchów - obszar wiejski (5)";"ludność na 1 km2";"2024";132,1;"osoba";"";
1216112;"Wierzchosławice (2)";"ludność na 1 km2";"2024";139,4;"osoba";"";
1216122;"Wietrzychowice (2)";"ludność na 1 km2";"2024";76,4;"osoba";"";
1216133;"Wojnicz (3)";"ludność na 1 km2";"2024";164,6;"osoba";"";
1216134;"Wojnicz - miasto (4)";"ludność na 1 km2";"2024";368,5;"osoba";"";
1216135;"Wojnicz - obszar wiejski (5)";"ludność na 1 km2";"2024";140,1;"osoba";"";
1216143;"Zakliczyn (3)";"ludność na 1 km2";"2024";101,1;"osoba";"";
1216144;"Zakliczyn - miasto (4)";"ludność na 1 km2";"2024";391,0;"osoba";"";
1216145;"Zakliczyn - obszar wiejski (5)";"ludność na 1 km2";"2024";91,2;"osoba";"";
1216153;"Żabno (3)";"ludność na 1 km2";"2024";180,5;"osoba";"";
1216154;"Żabno - miasto (4)";"ludność na 1 km2";"2024";366,3;"osoba";"";
1216155;"Żabno - obszar wiejski (5)";"ludność na 1 km2";"2024";157,6;"osoba";"";
1216162;"Szerzyny (2)";"ludność na 1 km2";"2024";91,1;"osoba";"";
1217000;"Powiat tatrzański";"ludność na 1 km2";"2024";140,7;"osoba";"";
1217011;"Zakopane (1)";"ludność na 1 km2";"2024";297,4;"osoba";"";
1217022;"Biały Dunajec (2)";"ludność na 1 km2";"2024";193,3;"osoba";"";
1217032;"Bukowina Tatrzańska (2)";"ludność na 1 km2";"2024";102,7;"osoba";"";
1217042;"Kościelisko (2)";"ludność na 1 km2";"2024";66,7;"osoba";"";
1217052;"Poronin (2)";"ludność na 1 km2";"2024";141,3;"osoba";"";
1218000;"Powiat wadowicki";"ludność na 1 km2";"2024";243,2;"osoba";"";
1218013;"Andrychów (3)";"ludność na 1 km2";"2024";415,9;"osoba";"";
1218014;"Andrychów - miasto (4)";"ludność na 1 km2";"2024";1747,7;"osoba";"";
1218015;"Andrychów - obszar wiejski (5)";"ludność na 1 km2";"2024";262,9;"osoba";"";
1218022;"Brzeźnica (2)";"ludność na 1 km2";"2024";163,7;"osoba";"";
1218033;"Kalwaria Zebrzydowska (3)";"ludność na 1 km2";"2024";263,3;"osoba";"";
1218034;"Kalwaria Zebrzydowska - miasto (4)";"ludność na 1 km2";"2024";775,8;"osoba";"";
1218035;"Kalwaria Zebrzydowska - obszar wiejski (5)";"ludność na 1 km2";"2024";222,9;"osoba";"";
1218042;"Lanckorona (2)";"ludność na 1 km2";"2024";154,6;"osoba";"";
1218052;"Mucharz (2)";"ludność na 1 km2";"2024";112,3;"osoba";"";
1218062;"Spytkowice (2)";"ludność na 1 km2";"2024";195,5;"osoba";"";
1218072;"Stryszów (2)";"ludność na 1 km2";"2024";147,3;"osoba";"";
1218082;"Tomice (2)";"ludność na 1 km2";"2024";200,2;"osoba";"";
1218093;"Wadowice (3)";"ludność na 1 km2";"2024";321,4;"osoba";"";
1218094;"Wadowice - miasto (4)";"ludność na 1 km2";"2024";1609,2;"osoba";"";
1218095;"Wadowice - obszar wiejski (5)";"ludność na 1 km2";"2024";188,9;"osoba";"";
1218102;"Wieprz (2)";"ludność na 1 km2";"2024";172,4;"osoba";"";
1219000;"Powiat wielicki";"ludność na 1 km2";"2024";353,8;"osoba";"";
1219012;"Biskupice (2)";"ludność na 1 km2";"2024";290,0;"osoba";"";
1219022;"Gdów (2)";"ludność na 1 km2";"2024";172,0;"osoba";"";
1219032;"Kłaj (2)";"ludność na 1 km2";"2024";173,8;"osoba";"";
1219043;"Niepołomice (3)";"ludność na 1 km2";"2024";348,9;"osoba";"";
1219044;"Niepołomice - miasto (4)";"ludność na 1 km2";"2024";628,7;"osoba";"";
1219045;"Niepołomice - obszar wiejski (5)";"ludność na 1 km2";"2024";237,7;"osoba";"";
1219053;"Wieliczka (3)";"ludność na 1 km2";"2024";700,2;"osoba";"";
1219054;"Wieliczka - miasto (4)";"ludność na 1 km2";"2024";2100,9;"osoba";"";
1219055;"Wieliczka - obszar wiejski (5)";"ludność na 1 km2";"2024";482,4;"osoba";"";
1261000;"Powiat m. Kraków";"ludność na 1 km2";"2024";2475,7;"osoba";"";
1261011;"Kraków (1)";"ludność na 1 km2";"2024";2475,7;"osoba";"";
1262000;"Powiat m. Nowy Sącz";"ludność na 1 km2";"2024";1385,8;"osoba";"";
1262011;"Nowy Sącz (1)";"ludność na 1 km2";"2024";1385,8;"osoba";"";
1263000;"Powiat m. Tarnów";"ludność na 1 km2";"2024";1411,1;"osoba";"";
1263011;"Tarnów (1)";"ludność na 1 km2";"2024";1411,1;"osoba";"";
